Frame,Pixel Count
MOG,0
MOG2,82944
GMG,0
KNN,82944
CNT,82944
MOG,1106
MOG2,5550
GMG,0
KNN,82944
CNT,82944
MOG,1507
MOG2,2984
GMG,0
KNN,82928
CNT,82944
MOG,1036
MOG2,2826
GMG,0
KNN,82869
CNT,82944
MOG,1131
MOG2,2634
GMG,0
KNN,7587
CNT,82944
MOG,1538
MOG2,2814
GMG,0
KNN,6100
CNT,82944
MOG,1617
MOG2,2536
GMG,0
KNN,5688
CNT,82944
MOG,2086
MOG2,4659
GMG,0
KNN,6683
CNT,82944
MOG,2025
MOG2,2656
GMG,0
KNN,6585
CNT,82944
MOG,2260
MOG2,2671
GMG,0
KNN,6328
CNT,82944
MOG,2255
MOG2,3642
GMG,0
KNN,7224
CNT,82944
MOG,1803
MOG2,3770
GMG,0
KNN,7548
CNT,82944
MOG,2563
MOG2,5775
GMG,0
KNN,9009
CNT,82944
MOG,2522
MOG2,4708
GMG,0
KNN,8903
CNT,82944
MOG,2547
MOG2,3572
GMG,0
KNN,9185
CNT,82944
MOG,2841
MOG2,4361
GMG,0
KNN,9203
CNT,11476
MOG,2797
MOG2,4978
GMG,0
KNN,9191
CNT,11835
MOG,3193
MOG2,6423
GMG,0
KNN,9457
CNT,12127
MOG,3332
MOG2,6143
GMG,0
KNN,9275
CNT,12165
MOG,3062
MOG2,5828
GMG,0
KNN,8928
CNT,12143
MOG,2982
MOG2,6405
GMG,0
KNN,8500
CNT,12219
MOG,3146
MOG2,5641
GMG,0
KNN,9061
CNT,12183
MOG,3436
MOG2,6863
GMG,0
KNN,9581
CNT,12493
MOG,3404
MOG2,6557
GMG,0
KNN,9542
CNT,12351
MOG,3506
MOG2,6465
GMG,0
KNN,9578
CNT,12339
MOG,3466
MOG2,7325
GMG,0
KNN,9529
CNT,12305
MOG,3155
MOG2,6867
GMG,0
KNN,9482
CNT,12288
MOG,3422
MOG2,7185
GMG,0
KNN,9765
CNT,12476
MOG,3494
MOG2,6794
GMG,0
KNN,9569
CNT,12159
MOG,3433
MOG2,6516
GMG,0
KNN,9349
CNT,12020
MOG,3412
MOG2,6533
GMG,0
KNN,9200
CNT,11881
MOG,3496
MOG2,5648
GMG,0
KNN,9423
CNT,11678
MOG,3684
MOG2,6334
GMG,0
KNN,9620
CNT,11741
MOG,3505
MOG2,5913
GMG,0
KNN,9393
CNT,11400
MOG,3624
MOG2,6065
GMG,0
KNN,9315
CNT,11332
MOG,3655
MOG2,6356
GMG,0
KNN,9154
CNT,11298
MOG,3634
MOG2,6153
GMG,0
KNN,8984
CNT,11207
MOG,3896
MOG2,6744
GMG,0
KNN,9079
CNT,11258
MOG,3833
MOG2,6697
GMG,0
KNN,8963
CNT,10997
MOG,3807
MOG2,6509
GMG,0
KNN,8849
CNT,10932
MOG,3895
MOG2,6628
GMG,0
KNN,9120
CNT,10901
MOG,3754
MOG2,6495
GMG,0
KNN,9058
CNT,10699
MOG,3923
MOG2,7065
GMG,0
KNN,9203
CNT,10732
MOG,3970
MOG2,7028
GMG,0
KNN,9156
CNT,10495
MOG,3988
MOG2,7177
GMG,0
KNN,9172
CNT,10416
MOG,4017
MOG2,7259
GMG,0
KNN,9185
CNT,10385
MOG,4036
MOG2,7306
GMG,0
KNN,9171
CNT,10328
MOG,4210
MOG2,7862
GMG,0
KNN,9315
CNT,10326
MOG,4209
MOG2,7954
GMG,0
KNN,9308
CNT,10221
MOG,4203
MOG2,7968
GMG,0
KNN,9310
CNT,10159
MOG,4286
MOG2,8613
GMG,0
KNN,9439
CNT,10209
MOG,4256
MOG2,8520
GMG,0
KNN,9656
CNT,10158
MOG,4409
MOG2,9092
GMG,0
KNN,9940
CNT,10228
MOG,4431
MOG2,9139
GMG,0
KNN,10043
CNT,10130
MOG,4449
MOG2,9281
GMG,0
KNN,10137
CNT,10050
MOG,4429
MOG2,9425
GMG,0
KNN,10151
CNT,10023
MOG,4502
MOG2,9545
GMG,0
KNN,10277
CNT,9990
MOG,4718
MOG2,10163
GMG,0
KNN,10547
CNT,10097
MOG,4709
MOG2,10031
GMG,0
KNN,10506
CNT,10067
MOG,4803
MOG2,10160
GMG,0
KNN,10481
CNT,10090
MOG,4790
MOG2,10168
GMG,0
KNN,10423
CNT,10063
MOG,4768
MOG2,10106
GMG,0
KNN,10337
CNT,10007
MOG,4905
MOG2,10435
GMG,0
KNN,10567
CNT,10037
MOG,4839
MOG2,10347
GMG,0
KNN,10534
CNT,9990
